datetime	caudal
2014-02-09	9.73
2014-02-10	7.27
2014-02-12	8.50
2014-02-13	9.73
2014-02-14	8.50
2014-02-15	8.50
2014-02-16	7.89
2014-02-20	7.27
2014-02-21	15.24
2014-02-22	14.01
2014-02-23	9.73
2014-02-24	12.18
2014-02-25	9.73
2014-02-26	7.27
2014-02-27	16.47
2014-02-28	19.53
2014-03-01	18.92
2014-03-02	25.04
2014-03-03	50.17
2014-03-04	26.88
2014-03-05	36.69
2014-03-06	23.21
2014-03-07	15.24
2014-03-08	12.79
2014-03-09	40.98
2014-03-10	33.01
2014-03-11	21.98
2014-03-12	18.92
2014-03-13	18.30
2014-03-14	16.47
2014-03-15	15.24
2014-03-16	15.85
2014-03-17	13.40
2014-03-18	15.24
2014-03-19	39.14
2014-03-20	44.04
2014-03-21	25.66
2014-03-22	34.24
2014-03-24	42.20
2014-03-25	26.27
2014-03-26	18.30
2014-03-27	16.47
2014-03-28	17.69
2014-03-29	14.01
2014-03-30	15.85
2014-03-31	25.04
2014-04-01	15.24
2014-04-02	12.79
2014-04-03	12.18
2014-04-04	22.59
2014-04-05	19.53
2014-04-06	49.55
2014-04-07	42.20
2014-04-09	34.85
2014-04-10	25.04
2014-04-11	23.82
2014-04-12	17.69
2014-04-13	15.24
2014-04-14	13.40
2014-04-15	14.01
2014-04-16	31.78
2014-04-17	22.59
2014-04-18	29.33
2014-04-20	35.46
2014-04-21	37.91
2014-04-22	37.91
2014-04-23	30.56
2014-04-24	30.56
2014-04-25	40.98
2014-04-26	24.43
2014-04-27	39.14
2014-04-28	25.66
2014-04-29	24.43
2014-04-30	28.11
2014-05-01	18.92
2014-05-02	17.08
2014-05-03	17.69
2014-05-04	21.37
2014-05-05	18.92
2014-05-06	14.63
2014-05-07	12.79
2014-05-08	15.85
2014-05-09	32.40
2014-05-10	33.62
2014-05-11	43.43
2014-05-13	34.85
2014-05-14	25.04
2014-05-15	33.01
2014-05-16	29.95
2014-05-17	27.50
2014-05-18	45.26
2014-05-19	46.49
2014-05-20	40.98
2014-05-21	26.88
2014-05-22	19.53
2014-05-23	19.53
2014-05-24	17.69
2014-05-25	15.85
2014-05-26	18.92
2014-05-27	18.30
2014-05-28	26.27
2014-05-30	37.30
2014-05-31	30.56
2014-06-01	50.17
2014-06-02	50.17
2014-06-03	36.69
2014-06-04	32.40
2014-06-05	28.11
2014-06-06	45.88
2014-06-07	41.59
2014-06-08	24.43
2014-06-09	21.37
2014-06-10	49.55
2014-06-11	43.43
2014-06-12	29.33
2014-06-13	35.46
2014-06-18	46.49
2014-06-19	39.14
2014-06-20	37.30
2014-06-21	26.27
2014-06-22	22.59
2014-06-23	39.75
2014-06-26	48.94
2014-06-27	33.01
2014-06-28	27.50
2014-06-29	26.88
2014-06-30	31.78
2014-07-01	28.11
2014-07-02	21.37
2014-07-03	28.72
2014-07-04	42.20
2014-07-05	37.91
2014-07-06	34.24
2014-07-09	40.36
2014-07-10	39.14
2014-07-11	33.01
2014-07-12	26.27
2014-07-13	25.04
2014-07-16	44.04
2014-07-18	47.72
2014-07-22	45.88
2014-07-23	33.01
2014-07-24	39.14
2014-07-26	42.20
2014-07-27	34.24
2014-07-28	48.94
2014-07-30	38.52
2014-07-31	28.11
2014-08-01	25.66
2014-08-02	22.59
2014-08-03	21.98
2014-08-04	20.75
2014-08-05	45.26
2014-08-07	44.04
2014-08-08	31.78
2014-08-10	36.07
2014-08-11	29.33
2014-08-12	38.52
2014-08-13	45.88
2014-08-14	34.24
2014-08-15	42.81
2014-08-17	50.78
2014-08-18	33.01
2014-08-19	31.78
2014-08-20	28.11
2014-08-21	24.43
2014-08-22	21.98
2014-08-23	19.53
2014-08-24	18.92
2014-08-25	32.40
2014-08-26	34.24
2014-08-27	26.27
2014-08-28	20.14
2014-08-29	20.75
2014-08-30	50.17
2014-08-31	34.24
2014-09-01	20.75
2014-09-02	21.37
2014-09-03	23.21
2014-09-04	20.14
2014-09-05	20.14
2014-09-06	22.59
2014-09-07	15.85
2014-09-08	14.01
2014-09-09	13.40
2014-09-10	13.40
2014-09-11	13.40
2014-09-12	17.69
2014-09-13	21.37
2014-09-14	24.43
2014-09-15	46.49
2014-09-16	42.81
2014-09-17	22.59
2014-09-18	16.47
2014-09-19	14.01
2014-09-20	12.79
2014-09-21	14.01
2014-09-22	16.47
2014-09-23	17.08
2014-09-24	18.30
2014-09-25	15.24
2014-09-26	12.18
2014-09-27	11.56
2014-09-28	12.79
2014-09-29	17.08
2014-09-30	19.53
2014-10-01	21.37
2014-10-02	33.01
2014-10-03	27.50
2014-10-04	26.88
2014-10-05	16.47
2014-10-06	14.01
2014-10-07	41.59
2014-10-08	42.20
2014-10-09	24.43
2014-10-10	27.50
2014-10-13	44.65
2014-10-14	44.04
2014-10-17	48.94
2014-10-18	31.78
2014-10-19	25.04
2014-10-20	21.98
2014-10-21	20.75
2014-10-22	21.37
2014-10-23	19.53
2014-10-24	17.69
2014-10-25	20.75
2014-10-26	26.27
2014-10-27	23.21
2014-10-28	17.08
2014-10-29	15.85
2014-10-30	18.92
2014-10-31	20.14
2014-11-01	14.63
2014-11-02	14.01
2014-11-03	12.79
2014-11-04	12.79
2014-11-05	13.40
2014-11-06	13.40
2014-11-07	14.01
2014-11-08	13.40
2014-11-09	10.95
2014-11-10	11.56
2014-11-11	15.85
2014-11-12	20.14
2014-11-13	17.08
2014-11-14	14.01
2014-11-15	12.18
2014-11-16	10.34
2014-11-17	10.34
2014-11-18	14.01
2014-11-19	12.79
2014-11-20	10.34
2014-11-21	9.73
2014-11-22	10.34
2014-11-23	18.92
2014-11-24	15.24
2014-11-25	13.40
2014-11-26	18.92
2014-11-27	30.56
2014-11-28	17.69
2014-11-29	15.85
2014-11-30	21.37
2014-12-01	24.43
2014-12-02	27.50
2014-12-03	19.53
2014-12-04	12.79
2014-12-05	44.04
2014-12-06	25.04
2014-12-07	14.01
2014-12-08	23.21
2014-12-09	20.75
2014-12-10	19.53
2014-12-11	14.01
2014-12-12	17.08
2014-12-13	14.01
2014-12-14	9.11
2014-12-15	7.27
2014-12-20	11.56
2014-12-21	8.50
2014-12-22	7.27
2014-12-23	7.89
2014-12-24	13.40
2014-12-25	37.30
2014-12-26	35.46
2014-12-27	36.69
2014-12-28	34.24
2014-12-29	23.82
2014-12-30	16.47
2014-12-31	14.01
2015-01-01	12.79
2015-01-02	12.18
2015-01-03	10.95
2015-01-04	16.47
2015-01-05	25.04
2015-01-06	17.08
2015-01-07	12.79
2015-01-08	14.01
2015-01-09	50.17
2015-01-11	48.94
2015-01-12	36.07
2015-01-13	31.17
2015-01-14	25.66
2015-01-15	17.08
2015-01-16	13.40
2015-01-17	11.56
2015-01-18	13.40
2015-01-19	17.69
2015-01-20	17.69
2015-01-21	14.63
2015-01-22	14.63
2015-01-23	17.69
2015-01-24	26.27
2015-01-25	20.14
2015-01-26	14.63
2015-01-27	12.18
2015-01-28	15.24
2015-01-29	17.08
2015-01-30	26.88
2015-01-31	41.59
2015-02-01	50.78
2015-02-02	45.88
2015-02-05	44.65
2015-02-06	26.88
2015-02-07	18.30
2015-02-08	17.08
2015-02-09	16.47
2015-02-10	14.01
2015-02-11	11.56
2015-02-12	13.40
2015-02-13	22.59
2015-02-14	36.69
2015-02-15	24.43
2015-02-16	15.85
2015-02-17	13.40
2015-02-18	10.34
2015-02-19	8.50
2015-02-20	7.27
2015-03-04	8.50
2015-03-07	14.01
2015-03-08	23.82
2015-03-09	23.82
2015-03-12	29.95
2015-03-13	23.82
2015-03-14	20.14
2015-03-15	33.01
2015-03-16	26.27
2015-03-17	18.30
