comid;latitude;longitude;river;location1;location2
9021479;0.71043;-79.39546;Rio Verde;ESMERALDAS;RIOVERDE
9021481;0.79678;-79.58406;Rio Esmera;ESMERALDAS;ESMERALDAS
9021489;0.66358;-77.48348;;;
9021493;0.67175;-80.05061;Rio San Fr;ESMERALDAS;MUISNE
9021496;0.68748;-78.85522;Rio San Mi;ESMERALDAS;ELOY ALFAR
9021498;0.65732;-78.17513;Rio Salado;IMBABURA;IBARRA
9021507;0.66826;-78.57107;Rio Puniya;ESMERALDAS;SAN LORENZO
9021511;0.65155;-79.34273;Rio Verde;ESMERALDAS;RIOVERDE
9021527;0.65182;-80.01703;Rio Bunche;ESMERALDAS;MUISNE
9021534;0.64796;-77.53905;Rio Chingu;CARCHI;TULCAN
9021582;0.69154;-78.38336;Rio Lita;IMBABURA;SAN MIGUEL
9021585;0.63715;-79.37147;Rio Popa;ESMERALDAS;RIOVERDE
9021641;0.64641;-78.92764;;ESMERALDAS;ELOY ALFAR
9021642;0.6329;-78.15154;Rio Mira;CARCHI;MIRA
9021643;0.60478;-77.76525;Rio Guasma;CARCHI;SAN PEDRO
9021644;0.61299;-77.73904;Rio Obispo;CARCHI;SAN PEDRO
9021681;0.62238;-77.48178;Rio Chingu;SUCUMBIOS;SUCUMBIOS
9021688;0.61684;-79.98473;;ESMERALDAS;MUISNE
9021692;0.62568;-79.55811;Rio Viche;ESMERALDAS;QUININDE
9021696;0.59166;-78.11336;Rio Santia;CARCHI;MIRA
9021701;0.63787;-79.02321;Rio Chimba;ESMERALDAS;ELOY ALFAR
9021712;0.58657;-79.60278;Rio Viche;ESMERALDAS;QUININDE
9021713;0.58505;-77.47761;;;
9021733;0.58527;-79.11788;Rio Hoja B;ESMERALDAS;ELOY ALFAR
9021738;0.57692;-79.09057;;ESMERALDAS;ELOY ALFAR
9021769;0.57428;-79.56802;;ESMERALDAS;QUININDE
9021779;0.56354;-79.67062;Estero Bam;ESMERALDAS;QUININDE
9021780;0.57236;-79.65113;Rio Viche;ESMERALDAS;QUININDE
9021783;0.5695;-79.90088;;ESMERALDAS;MUISNE
9021808;0.60649;-78.62784;Rio Rumiya;ESMERALDAS;SAN LORENZO
9021830;0.56933;-78.91812;;ESMERALDAS;ELOY ALFAR
9021843;0.56994;-78.13141;Rio Mira;IMBABURA;IBARRA
9021881;0.53648;-79.99765;;ESMERALDAS;MUISNE
9021901;0.53481;-79.95124;Rio Muisne;ESMERALDAS;MUISNE
9021902;0.58436;-78.84031;Rio Bravo;ESMERALDAS;ELOY ALFAR
9021913;0.52657;-78.18125;Rio Palaca;IMBABURA;SAN MIGUEL
9021914;0.52582;-78.12074;Rio Mira;CARCHI;MIRA
9021926;0.53206;-77.82412;Rio San Ga;CARCHI;MONTUFAR
9021927;0.55048;-77.78325;Rio Rumich;CARCHI;MONTUFAR
9021956;0.57948;-78.97093;;ESMERALDAS;ELOY ALFAR
9021963;0.50897;-78.11607;Rio Piguch;IMBABURA;IBARRA
9021970;0.50691;-78.1075;Rio Mira;CARCHI;MIRA
9022001;0.50705;-79.97715;;ESMERALDAS;MUISNE
9022006;0.575;-78.69032;Rio Barbud;ESMERALDAS;ELOY ALFAR
9022009;0.50757;-79.89064;Rio Sucio;ESMERALDAS;MUISNE
9022024;0.56408;-79.4609;Rio Esmera;ESMERALDAS;QUININDE
9022030;0.48454;-78.09092;Rio Chota;CARCHI;MIRA
9022031;0.56198;-78.00018;Rio El Ang;CARCHI;MIRA
9022038;0.47997;-78.69385;Rio Barbud;ESMERALDAS;ELOY ALFAR
9022041;0.47348;-78.0446;Rio Chota;CARCHI;BOLIVAR
9022043;0.48048;-78.70522;;ESMERALDAS;ELOY ALFAR
9022046;0.5124;-79.70147;Rio Viche;ESMERALDAS;QUININDE
9022047;0.47422;-79.38621;Rio Blanco;ESMERALDAS;QUININDE
9022055;0.48399;-79.23691;Rio Desgra;ESMERALDAS;QUININDE
9022064;0.47705;-79.07756;Rio Canand;ESMERALDAS;QUININDE
9022068;0.46345;-77.53991;Rio Sucio;SUCUMBIOS;SUCUMBIOS
9022069;0.52875;-77.51354;;;
9022076;0.46082;-79.15308;;ESMERALDAS;QUININDE
9022078;0.46089;-79.39054;Rio Blanco;ESMERALDAS;QUININDE
9022081;0.45805;-79.20152;Rio Canand;ESMERALDAS;QUININDE
9022114;0.45903;-79.31287;Rio Grande;ESMERALDAS;QUININDE
9022128;0.44576;-79.15613;;ESMERALDAS;QUININDE
9022137;0.47663;-77.8822;Rio Rumich;CARCHI;BOLIVAR
9022139;0.44978;-77.9833;Rio Chota;CARCHI;BOLIVAR
9022167;0.50063;-79.64801;Rio Cube;ESMERALDAS;QUININDE
9022170;0.46349;-78.43071;Rio Pitura;IMBABURA;COTACACHI
9022173;0.44463;-78.01106;Quebrada d;IMBABURA;IBARRA
9022185;0.41761;-78.44219;Rio Irubi;IMBABURA;COTACACHI
9022227;0.41763;-77.93365;Rio Chota;IMBABURA;PIMAMPIRO
9022233;0.4508;-78.1223;Rio Ambi;IMBABURA;IBARRA
9022258;0.4071;-77.20008;;;
9022273;0.39187;-77.89517;Rio Escudi;CARCHI;BOLIVAR
9022275;0.40495;-76.33843;;;
9022281;0.42232;-79.3647;Rio Cole;ESMERALDAS;QUININDE
9022282;0.40738;-76.24811;;;
9022290;0.38242;-77.15625;;;
9022298;0.43151;-77.68815;Rio Cofane;SUCUMBIOS;SUCUMBIOS
9022304;0.381;-78.23124;Rio Cariya;IMBABURA;SAN MIGUEL
9022305;0.38722;-78.17599;Rio Ambi;IMBABURA;ANTONIO ANTONIO
9022306;0.37914;-76.19066;;;
9022308;0.37752;-77.68634;Rio Condue;SUCUMBIOS;SUCUMBIOS
9022324;0.37463;-77.12325;;SUCUMBIOS;LAGO AGRIO
9022327;0.37594;-79.50549;Rio Zapota;ESMERALDAS;QUININDE
9022328;0.40681;-79.10289;Rio Jordan;ESMERALDAS;QUININDE
9022336;0.39452;-77.32472;;;
9022366;0.38937;-78.48383;Rio Apuela;IMBABURA;COTACACHI
9022372;0.35788;-79.52017;Rio Cupa;ESMERALDAS;QUININDE
9022382;0.39812;-78.52533;Rio Cristo;IMBABURA;COTACACHI
9022383;0.34944;-78.51999;Rio Intag;IMBABURA;COTACACHI
9022410;0.40516;-79.44004;Rio Blanco;ESMERALDAS;QUININDE
9022414;0.3683;-77.92593;Rio Mataqu;IMBABURA;PIMAMPIRO
9022426;0.34754;-79.48699;Estero Gua;ESMERALDAS;QUININDE
9022427;0.33468;-79.47271;Rio Quinin;ESMERALDAS;QUININDE
9022468;0.34188;-76.25908;;SUCUMBIOS;PUTUMAYO
9022469;0.3548;-76.12943;;SUCUMBIOS;PUTUMAYO
9022479;0.35959;-79.30576;Rio Guayll;ESMERALDAS;QUININDE
9022480;0.33853;-78.49721;Rio Asabi;IMBABURA;COTACACHI
9022510;0.31545;-79.1289;Rio Guayll;PICHINCHA;PEDRO VICE
9022511;0.32105;-76.06134;;SUCUMBIOS;PUTUMAYO
9022512;0.31382;-76.0146;;;
9022517;0.31809;-77.92319;Rio Blanco;IMBABURA;PIMAMPIRO
9022534;0.29833;-79.11685;Rio Crista;PICHINCHA;PEDRO VICE
9022535;0.31075;-79.48972;Rio Quinin;ESMERALDAS;QUININDE
9022551;0.32683;-77.09446;;;
9022552;0.30499;-76.1282;;SUCUMBIOS;PUTUMAYO
9022557;0.2939;-77.1197;Rio La Ber;SUCUMBIOS;LAGO AGRIO
9022565;0.28896;-77.17347;Rio Bocach;SUCUMBIOS;LAGO AGRIO
9022569;0.28826;-77.05948;;;
9022581;0.28768;-79.50471;Rio Quinin;ESMERALDAS;QUININDE
9022593;0.28604;-77.01692;;SUCUMBIOS;LAGO AGRIO
9022613;0.29717;-79.06604;Rio Guayll;PICHINCHA;PEDRO VICE
9022626;0.275;-76.99125;;;
9022665;0.31729;-78.94899;Rio Naranj;IMBABURA;COTACACHI
9022666;0.27226;-77.05264;;SUCUMBIOS;LAGO AGRIO
9022672;0.3101;-79.89642;Rio Cojimi;ESMERALDAS;MUISNE
9022675;0.27716;-79.55202;Rio Arenan;ESMERALDAS;QUININDE
9022676;0.26852;-79.52413;Rio Arenan;ESMERALDAS;QUININDE
9022690;0.31438;-78.24611;Rio Ambi;IMBABURA;COTACACHI
9022694;0.26003;-76.79409;Rios San M;SUCUMBIOS;LAGO AGRIO
9022698;0.25005;-78.28652;Rio Blanco;IMBABURA;OTAVALO
9022703;0.26455;-76.75436;;SUCUMBIOS;LAGO AGRIO
9022710;0.2649;-76.9417;Rios San M;SUCUMBIOS;LAGO AGRIO
9022714;0.25185;-79.93524;;MANABI;PEDERNALES
9022715;0.29025;-77.95034;Rio Pisque;IMBABURA;PIMAMPIRO
9022716;0.2875;-78.75804;Rio Magdal;IMBABURA;COTACACHI
9022718;0.25046;-76.82703;;SUCUMBIOS;LAGO AGRIO
9022728;0.24635;-76.86928;Rios San M;SUCUMBIOS;LAGO AGRIO
9022730;0.28137;-79.13198;Rio Pitzar;PICHINCHA;PUERTO QUITO
9022731;0.26926;-79.47286;Rio Corre;ESMERALDAS;QUININDE
9022732;0.27997;-79.4175;Rio Blanco;ESMERALDAS;QUININDE
9022733;0.24204;-79.34934;;PICHINCHA;PUERTO QUITO
9022742;0.2396;-78.76033;Rio Guayll;IMBABURA;COTACACHI
9022747;0.24492;-79.90204;Rio Mache;MANABI;PEDERNALES
9022755;0.252;-79.01529;Rio Guayll;IMBABURA;COTACACHI
9022772;0.33398;-77.49515;Rio Chingu;SUCUMBIOS;SUCUMBIOS
9022775;0.26672;-77.25687;Rio Zaraya;SUCUMBIOS;CASCALES
9022776;0.25859;-77.17025;Rio La Ber;SUCUMBIOS;LAGO AGRIO
9022777;0.2334;-79.33453;Rio Inga;PICHINCHA;PUERTO QUITO
9022778;0.26169;-76.6589;;SUCUMBIOS;LAGO AGRIO
9022787;0.25231;-78.89332;Rio Mandur;IMBABURA;COTACACHI
9022789;0.22847;-78.73427;Rio Guayll;IMBABURA;COTACACHI
9022790;0.23845;-78.69855;Rio Chalgu;IMBABURA;COTACACHI
9022791;0.24219;-76.53801;Rios San M;SUCUMBIOS;LAGO AGRIO
9022801;0.28212;-78.57804;Rio Intag;IMBABURA;COTACACHI
9022808;0.21855;-78.7096;Rio Guayll;IMBABURA;COTACACHI
9022809;0.22206;-78.59471;Rio Pamplo;PICHINCHA;QUITO
9022819;0.23731;-76.36106;;SUCUMBIOS;PUTUMAYO
9022821;0.2311;-78.84881;Rio Guayll;PICHINCHA;QUITO
9022832;0.2222;-79.01895;Rio San Di;PICHINCHA;PEDRO VICE
9022833;0.22022;-78.68667;Rio Guayll;PICHINCHA;QUITO
9022838;0.24622;-79.50787;Rio Quinin;ESMERALDAS;QUININDE
9022843;0.25406;-75.98489;;;
9022847;0.30799;-78.10114;Rio Tahuan;IMBABURA;IBARRA
9022856;0.21299;-78.64766;Rio Intag;IMBABURA;COTACACHI
9022859;0.23157;-77.28397;Rio La Ber;SUCUMBIOS;CASCALES
9022861;0.2286;-77.73752;El Dorado;SUCUMBIOS;SUCUMBIOS
9022868;0.21696;-78.97963;Rio Guayll;IMBABURA;COTACACHI
9022869;0.21275;-78.9345;Rio Guayll;PICHINCHA;QUITO
9022876;0.22717;-79.58218;Rio Santim;ESMERALDAS;QUININDE
9022897;0.22818;-78.23502;Rio Jatuny;IMBABURA;OTAVALO
9022900;0.20734;-78.69621;Rio Alambi;PICHINCHA;QUITO
