basin;code;name;latitude;longitude;elevation;comid;river;location1;location2;alert
GUAYAS;H0417;VINCES EN HDA.CASA VINCES;-1.304583327;-79.57375001;0;9027991;RIO QUEVEDO;LOS RIOS;MOCACHE;R0
PUYANGO;H0588;AMARILLO EN PORTOVELO;-3.712331;-79.612332;660;9036977;RIO AMARILLO;EL ORO;PORTOVELO;R0
NAPO;H0712;AZUELA AJ SAN PEDRO;0.081250006;-77.91227714;3417;9023426;RIO AZUELA;SUCUMBIOS;GONZALO PIZARRO;R0
NAPO;H0715;QUIJOS AJ BOMBON;-0.285000001;-77.74791667;1380;9024502;RIO QUIJOS;NAPO;EL CHACO;R0
PASTAZA;H0788;PUELA AJ CHAMBO;-1.512222222;-78.47472222;2475;9028651;RIO PUELA;CHIMBORAZO;PENIPE;R0
SANTIAGO;H0881;BOMBOIZA AJ ZAMORA;-3.415206348;-78.49603571;549;9035769;RIO BOMBOIZA;MORONA SANTIAGO;GUALAQUIZA;R0
SANTIAGO;H0884;ZAMORA AJ BOMBOIZA;-3.413089078;-78.48024425;548;9036156;RIO ZAMORA;MORONA SANTIAGO;GUALAQUIZA;R0
PASTAZA;H1143;AMBATO EN MANZANAHUAICO;-1.279583327;-78.76085418;3150;9027661;RIO AMBATO;TUNGURAHUA;AMBATO;R0
;H0534;;;;;9027661;;;;R0
;H0540;;;;;9027661;;;;R0
;H0717;;;;;9027661;;;;R0
;H0911;;;;;9027661;;;;R0
;H0451;;;;;9027661;;;;R0
;H1088;;;;;9027661;;;;R0
;H1153;;;;;9027661;;;;R0
;H1155;;;;;9027661;;;;R0
;H1156;;;;;9027661;;;;R0
