index,basin,code,name,latitude,longitude,elevation,comidant,comid,river,loc1,loc2,loc3,alert
70,GUAYAS,H0346,ZAPOTAL EN LECHUGAL,-1.398333,-79.429167,40,142588,9028108,Zapotal,Los Rios,Ventanas,Los Angeles,R0
71,GUAYAS,H0347,QUEVEDO EN QUEVEDO,-1.007915,-79.4570709999999,125,142509,9027991,Quevedo,Los Rios,Quevedo,Quevedo,R0
72,GUAYAS,H0348,VINCES EN VINCES-DCP,-1.547083,-79.75,41,143295,9029256,Vinces,Los Rios,Vinces,Vinces,R0
73,GUAYAS,H0351,DAULE EN PICHINCHA,-1.04875,-79.8170829999999,70,142310,9026890,Daule,Manabi,Pichincha,Pichincha,R0
74,GUAYAS,H0352,MACUL EN PTE.CARRETERA,-1.06625,-79.6162499999999,54,142462,9027907,Macul,Guayas,Empalme,Velasco Ibarra (Cab. El Empalme),R0
75,GUAYAS,H0359,PAJAN EN AGUA FRIA,-1.610417,-80.3770829999999,323,142925,9028982,Daule,Manabi,Pajan,Campozano (La Palma De Pajan),R0
76,GUAYAS,H0363,DAULE EN BALZAR,-1.359974,-79.912918,30,142752,9028567,Daule,Guayas,Balzar,Balzar,R0
77,GUAYAS,H0365,DAULE EN LA CAPILLA,-1.699584,-79.9949689999999,13,143233,9029221,Daule,Guayas,Santa Lucia,Santa Lucia,R0
78,GUAYAS,H0371,SAN PABLO EN PALMAR,-1.830205,-79.4372939999999,10,143237,9029742,San Pablo,Los Rios,Montalvo,Montalvo,R0
79,GUAYAS,H0375,CHANCHAN DJ HUATAXI,-2.274583,-78.960417,1480,143969,9031418,Chanchan,Chimborazo,Alausi,Huigra,R0
80,GUAYAS,H0385,ANGAS AJ CHANCHAN,-2.302923,-79.061665,742,0,9031643,Angas,Canar,Canar,General Morales (Socarte),R0
81,GUAYAS,H0390,CHIMBO AJ MILAGRO INAMHI,-2.135417,-79.667083,30,143840,9031142,Chimbo,Guayas,San Jacinto De Yaguachi,San Jacinto De Yaguachi,R0
83,GUAYAS,H0394,EMBARCADERO EN H.CLEM(POT-STA.ROSA),-1.70625,-79.3937679999999,18,143003,9029165,Embarcadero,Los Rios,Babahoyo,La Union,R0
85,GUAYAS,H0402,CONGO EN PTE.CARRETERA,-1.03875,-79.695417,30,142314,9027610,Congo,Guayas,Empalme,Velasco Ibarra (Cab. El Empalme),R0
86,GUAYAS,H0414,TOACHI AJ BABA,-0.67625,-79.3612499999999,151,141485,9025671,Toachi,Santo Domingo De Los Tsachilas,Santo Domingo,Santa Maria Del Toachi,R0
88,TAURA,H0447,BULUBULU AJ PAYO,-2.292917,-79.5012499999999,40,144038,9031564,Bulubulu,Guayas,El Triunfo,El Triunfo,R0
89,TAURA,H0448,PAYO AJ BULUBULU,-2.281667,-79.5041669999999,25,143918,9031320,Payo,Guayas,Coronel Marcelino Mariduena,Coronel Marcelino Mariduena,R0
90,CANAR,H0466,SILANTE EN INGAPIRCA,-2.539167,-78.8816669999999,2709,0,9032257,Silante,Canar,Canar,Ingapirca,R0
91,CANAR,H0467,VENDELECHE EN HDA.LA CURIA,-2.582084,-78.872916,3020,0,9032495,Vende Leche,Canar,Canar,Honorato Vasquez (Tambo Viejo),R0
92,CANAR,H0468,SAN PEDRO EN INGAPIRCA,-2.583749,-78.8434989999999,2700,0,9032405,San Pedro,Canar,Canar,Honorato Vasquez (Tambo Viejo),R0
93,CANAR,H0471,CANAR DJ RAURA,-2.482744,-79.1544109999999,870,144381,9032090,Canar,Canar,Canar,Gualleturo,R0
94,CANAR,H0472,CANAR EN PTO.INCA,-2.547498,-79.5566649999999,25,144405,9032436,Canar,Guayas,Naranjal,Jesus Maria,R0
95,BALAO,H0503,TENGUEL EN TENGUEL,-2.990416,-79.787,10,145089,9033987,Tenguel,Guayas,Guayaquil,Tenguel,R0
96,BALAO,H0504,SIETE EN PTE.CARRETERA,-3.07674,-79.7525449999999,13,0,9034278,Siete,Azuay,Camilo Ponce Enriquez,Camilo Ponce Enriquez,R0
97,BALAO,H0505,PAGUA EN PTE.CARRETERA,-3.08737,-79.758505,13,0,9034353,Pagua,El Oro,El Guabo,Rio Bonito,R0
98,BALAO,H0507,BONITO EN PTE.CARRETERA(AJ PAGUA),-3.106923,-79.7668419999999,30,0,9034353,Bonito,El Oro,El Guabo,Rio Bonito,R0
99,BALAO,H0508,CHAGUANA EN PTE.CARRETERA,-3.20375,-79.797083,5,0,9035091,Chaguana,El Oro,El Guabo,Tendales (Cab. En Puerto Tendales),R0
100,JUBONES,H0526,PAQUISHAPA EN PTE.CARRETERA,-3.617917,-79.211995,2206,146164,9036512,Paquishapa,Loja,Saraguro,Urdaneta (Paquishapa),R0
101,JUBONES,H0527,LEON EN PTE.CARRETERA,-3.418841,-79.1588289999999,2020,145946,9035775,Leon,Azuay,Ona,San Felipe De Ona,R0
102,JUBONES,H0528,JUBONES DJ MINAS,-3.267083,-79.232917,1120,145676,9035149,Rircay,Azuay,Santa Isabel,Santa Isabel (Chaguarurco),R0
