index,basin,code,name,latitude,longitude,elevation,comidant,comid,river,loc1,loc2,loc3,alert
79,GUAYAS,H0359,PAJAN EN AGUA FRIA,-1.610417,-80.377083,323,142925,9028982,RIO PAJAN,MANABI,PAJAN,CAMPOZANO (LA PALMA DE PAJAN),R0
80,GUAYAS,H0363,DAULE EN BALZAR,-1.359974,-79.912918,30,142752,9028567,RIO DAULE,GUAYAS,BALZAR,BALZAR,R0
81,GUAYAS,H0365,DAULE EN LA CAPILLA,-1.699584,-79.994969,13,143233,9029221,RIO DAULE,GUAYAS,SANTA LUCIA,SANTA LUCIA,R0
82,GUAYAS,H0371,SAN PABLO EN PALMAR,-1.830205,-79.437294,10,143237,9029742,,LOS RIOS,MONTALVO,MONTALVO,R0
83,GUAYAS,H0373,VERNAZA DD VINCES,-1.63875,-79.79875,16,143295,9029256,RIO VINCES,LOS RIOS,VINCES,ANTONIO SOTOMAYOR,R0
84,GUAYAS,H0375,CHANCHAN DJ HUATAXI,-2.274583,-78.960417,1480,143969,9031418,RIO CHANCHAN,CHIMBORAZO,ALAUSI,HUIGRA,R0
85,GUAYAS,H0385,ANGAS AJ CHANCHAN,-2.302923,-79.061665,742,0,9031643,RIO ANGAS,CANAR,CANAR,GENERAL MORALES (SOCARTE),R0
86,GUAYAS,H0390,CHIMBO AJ MILAGRO INAMHI,-2.135417,-79.667083,30,143840,9031142,RIO CHIMBO,GUAYAS,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,R0
87,GUAYAS,H0391,DAULE EN STA.LUCIA,-1.717917,-79.992083,12,143233,9029221,RIO DAULE,GUAYAS,SANTA LUCIA,SANTA LUCIA,R0
88,GUAYAS,H0392,JUNQUILLO DD VERNASA,-1.682083,-79.802917,25,143295,9029256,RIO VINCES,LOS RIOS,VINCES,ANTONIO SOTOMAYOR,R0
89,GUAYAS,H0394,EMBARCADERO EN H.CLEM(POT-STA.ROSA),-1.70625,-79.393768,18,143003,9029165,,LOS RIOS,BABAHOYO,LA UNION,R0
90,GUAYAS,H0399,COLIMES EN POTRERILLOS,-1.550417,-80.067917,15,142925,9028709,RIO COLIMES,GUAYAS,COLIMIES,COLIMIES,R0
91,GUAYAS,H0400,PEDRO CARBO EN PEDRO CARBO,-1.81875,-80.227083,65,143227,9029670,RIO PEDRO CARBO,GUAYAS,PEDRO CARBO,PEDRO CARBO,R0
92,GUAYAS,H0401,PULA EN LA LAUREL,-1.782369,-79.902369,6,143405,9029952,RIO PULA,GUAYAS,SALITRE,JUNQUILLAL,R0
93,GUAYAS,H0402,CONGO EN PTE.CARRETERA,-1.03875,-79.695417,30,142314,9027610,RIO CONGO,GUAYAS,EMPALME,VELASCO IBARRA (CAB. EL EMPALME),R0
94,GUAYAS,H0407,PULA EN PALIZADA,-1.648764,-79.867916,16,143405,9029233,RIO PULA,GUAYAS,SALITRE,JUQUILLAL,R0
95,GUAYAS,H0414,TOACHI AJ BABA,-0.67625,-79.36125,151,141485,9025671,RIO TOACHI,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTA MARIA DEL TOACHI,R0
96,GUAYAS,H0415,SAN PABLO EN LA MANA,-0.93798,-79.223813,238,141851,9026532,RIO SAN PABLO,COTOPAXI,LA MANA,LA MANA,R0
97,GUAYAS,H0418,SUQUIBI AJ NAVES,-1.284583,-79.319583,0,142376,9027762,RIO SUQUIBI,BOLIVAR,LAS NAVES,LAS NAVES,R0
98,ZAPOTAL,H0434,VALDIVIA EN EL SUSPIRO,-1.895278,-80.629722,0,0,9030051,RIO CALIFORNIA,SANTA ELENA,SANTA ELENA,COLONCHE,R0
99,TAURA,H0447,BULUBULU AJ PAYO,-2.292917,-79.50125,40,144038,9031564,RIO BULUBULU,GUAYAS,EL TRIUNFO,EL TRIUNFO,R0
100,TAURA,H0448,PAYO AJ BULUBULU,-2.281667,-79.504167,25,143918,9031320,,GUAYAS,CORONEL MARCELINO MARIDUENA,CORONEL MARCELINO MARIDUENA,R0
101,CANAR,H0466,SILANTE EN INGAPIRCA,-2.539167,-78.881667,2709,0,9032257,RIO SILANTE,CANAR,CANAR,INGAPIRCA,R0
102,CANAR,H0467,VENDELECHE EN HDA.LA CURIA,-2.582084,-78.872916,3020,0,9032495,RIO VENDE LECHE,CANAR,CANAR,HONORATO VASQUEZ (TAMBO VIEJO),R0
103,CANAR,H0468,SAN PEDRO EN INGAPIRCA,-2.583749,-78.843499,2700,0,9032405,RIO SAN PEDRO,CANAR,CANAR,HONORATO VASQUEZ (TAMBO VIEJO),R0
104,CANAR,H0471,CANAR DJ RAURA,-2.482744,-79.154411,870,144381,9032090,RIO CANAR,CANAR,CANAR,GUALLETURO,R0
105,CANAR,H0472,CANAR EN PTO.INCA,-2.547498,-79.556665,25,144405,9032436,,GUAYAS,NARANJAL,JESUS MARIA,R0
106,BALAO,H0503,TENGUEL EN TENGUEL,-2.990416,-79.787,10,145089,9033987,RIO TENGUEL,GUAYAS,GUAYAQUIL,TENGUEL,R0
107,BALAO,H0504,SIETE EN PTE.CARRETERA,-3.07674,-79.752545,13,0,9034278,RIO MACHALERA,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,R0
108,BALAO,H0505,PAGUA EN PTE.CARRETERA,-3.08737,-79.758505,13,0,9034353,,EL ORO,EL GUABO,RIO BONITO,R0
109,BALAO,H0506,PAGUA AJ BONITO(AJ SIETE),-3.084735,-79.780265,30,0,9034353,,EL ORO,EL GUABO,RIO BONITO,R0
110,BALAO,H0507,BONITO EN PTE.CARRETERA(AJ PAGUA),-3.106923,-79.766842,30,0,9034353,,EL ORO,EL GUABO,RIO BONITO,R0
111,BALAO,H0508,CHAGUANA EN PTE.CARRETERA,-3.20375,-79.797083,5,0,9035091,,EL ORO,EL GUABO,TENDALES (CAB. EN PUERTO TENDALES),R0
112,JUBONES,H0526,PAQUISHAPA EN PTE.CARRETERA,-3.617917,-79.211995,2206,146164,9036512,RIO PAQUISHAPA,LOJA,SARAGURO,URDANETA (PAQUISHAPA),R0
113,JUBONES,H0527,LEON EN PTE.CARRETERA,-3.418841,-79.158829,2020,145946,9035775,RIO LEON,AZUAY,ONA,SAN FELIPE DE ONA,R0
114,JUBONES,H0528,JUBONES DJ MINAS,-3.267083,-79.232917,1120,145676,9035149,RIO RIRCAY,AZUAY,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO),R0
115,JUBONES,H0529,JUBONES DJ S.FRANCISCO,-3.310405,-79.51124,712,145648,9035285,RIO JUBONES,EL ORO,ZARUMA,ABANIN,R0
116,JUBONES,H0530,JUBONES EN USHCURRUMI,-3.32375,-79.605416,282,145665,9035301,RIO JUBONES,EL ORO,PASAJE,UZHCURRUMI,R0
117,JUBONES,H0531,CASACAY AJ JUBONES,-3.327083,-79.717083,134,0,9035579,RIO CASACAY,EL ORO,PASAJE,CASACAY,R0
118,JUBONES,H0533,Jubones en Pte. Iberia,-3.26624999301197,-79.8862500055323,12,145664,9035322,,EL ORO,MACHALA,MACHALA,R0
119,JUBONES,H0547,RIRCAY EN P.ALTO SALTANA,-3.30875,-79.512083,249,145648,9035285,RIO JUBONES,AZUAY,PUCARA,SAN RAFAEL DE SHARUG,R0
120,ARENILLAS,H0571,RASPA EN ASERRIO(BUENA VISTA),-3.397741,-79.807917,80,145909,9035869,RIO SAN AGUSTIN,EL ORO,PASAJE,BUENAVISTA,R0
121,ARENILLAS,H0572,Caluguro ABT Canal de Riego,-3.50208332619501,-79.8787500053611,55,0,9036107,RIO CALAGURO,EL ORO,SANTA ROSA,BELLAMARIA,R0
122,SANTA ROSA,H0573,SANTA ROSA EN EL VADO,-3.556667,-79.946667,80,0,9036369,RIO SANTA ROSA,EL ORO,SANTA ROSA,LA AVANZADA,R0
123,ARENILLAS,H0574,ARENILLAS EN ARENILLAS,-3.565514,-80.048568,20,0,9036653,ESTERO JUMON,EL ORO,ARENILLAS,ARENILLAS,R0
124,PUYANGO,H0586,Calera AJ Amarillo,-3.677777778,-79.64361111,680,146381,9036976,RIO LA CALERA,EL ORO,ZARUMA,MALVAS,R0
125,PUYANGO,H0587,PINDO A.J. AMARILLO,-3.76375,-79.635503,520,0,9037158,RIO PINDO,EL ORO,PORTOVELO,PORTOVELO,R0
126,PUYANGO,H0589,PUYANGO AJ MARCABELI,-3.826255,-79.929569,349,0,9037435,RIO PUYANGO,LOJA,PALTAS,ORIANGA,R0
127,PUYANGO,H0590,MARCABELI AJ PUYANGO,-3.811254,-79.93458,450,0,9037431,RIO MARCABELI,EL ORO,MARCABELI,MARCABELI,R0
128,PUYANGO,H0591,PUYANGO EN CPTO.MILITAR (PTE.CARRETERA),-3.882917,-80.079827,300,146959,9037858,RIO PUYANGO,EL ORO,LAS LAJAS,LA LIBERTAD,R0
129,PUYANGO,H0592,MOROMORO EN MOROMORO,-3.688333,-79.740833,800,146614,9037455,,EL ORO,PINAS,MOROMORO (CAB. EN EL VADO),R0
130,CHIRA,H0616,ALAMOR EN SAUCILLO(DJ CELICA),-4.25875,-80.19625,247,147833,9039494,RIO ALAMOR,LOJA,ZAPOTILLO,GARZAREAL,R0
131,CATAMAYO,H0620,Catamayo en Pte. Santa Rosa,-4.156666667,-79.8612500052613,640,147338,9039050,RIO CATAMAYO,LOJA,SOZORANGA,SOZORANGA,R0
132,CHIRA,H0621,JORUPE EN AMALUZA,-4.581285,-79.433684,1762,0,9040740,RIO AMALUZA,LOJA,ESPINDOLA,AMALUZA,R0
133,CATAMAYO,H0622,Malacatus en Malacatus,-4.216666667,-79.25444444,1657,0,9039213,RIO MALACATOS,LOJA,LOJA,MALACATOS,R0
134,JUBONES,H0625,ALAMOR EN PTE.MERCADILLO,-4.032916,-80.009334,1080,0,9038824,RIO MALATANGA,LOJA,SARAGURO,URDANETA (PAQUISHAPA),R0
135,CATAMAYO,H0626,MACARA EN PTE. INTERNACIONAL,-4.392305,-79.963528,435,147700,9039887,RIO MACARA,LOJA,MACARA,MACARA,R0
136,CATAMAYO,H0628,CATAMAYO DJ GUAYABAL,-4.007083,-79.412077,1120,147273,9038261,RIO CATAMAYO,LOJA,CATAMAYO,SAN PEDRO DE LA BENDITA,R0
137,AGUARICO,H0682,Due AJ Aguarico,0.027777778,-77.3904501599981,0,140519,9023501,RIO DUE,SUCUMBIOS,GONZALO PIZARRO,LUMBAQUI,R0
138,NAPO,H0714,COCA EN SAN RAFAEL,-0.101167,-77.578667,1160,140783,9024121,RIO QUIJOS,NAPO,EL CHACO,GONZALO DIAZ DE PINEDA,R0
139,NAPO,H0718,QUIJOS EN BAEZA,-0.456251,-77.885416,1770,141154,9024983,RIO QUIJOS,NAPO,QUIJOS,SAN FRANCISCO DE BORJA,R0
