index,comid,latitude,longitude,river,loc0,loc1,loc2,alert
286,9023122,0.12621,-79.56785,Rio Quinin,Esmeraldas,ESMERALDAS,QUININDE,R0
287,9023123,0.12386,-78.64969,Rio Saguan,Pichincha,PICHINCHA,QUITO,R0
288,9023137,0.14807,-79.63139,Rio Dogola,Esmeraldas,MANABI,PEDERNALES,R0
289,9023142,0.16694,-77.46675,Rio Aguari,Sucumbios,SUCUMBIOS,GONZALO PI,R0
290,9023143,0.11823,-77.4092,,Sucumbios,SUCUMBIOS,GONZALO PI,R0
291,9023154,0.15448,-78.56293,Rio Guayll,Pichincha,PICHINCHA,QUITO,R0
292,9023158,0.126,-79.25876,Rio Caoni,Pichincha,PICHINCHA,PUERTO QUITO,R0
293,9023165,0.12287,-77.7043,,Sucumbios,SUCUMBIOS,GONZALO PI,R0
294,9023189,0.13681,-79.3265,Rio Blanco,Esmeraldas,PICHINCHA,PUERTO QUITO,R0
295,9023190,0.12939,-76.00758,Rio San Mi,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
296,9023210,0.1059,-77.3996,,Sucumbios,SUCUMBIOS,GONZALO PI,R0
297,9023224,0.09838,-79.17923,Rio Caoni,Pichincha,PICHINCHA,PUERTO QUITO,R0
298,9023238,0.09052,-77.40754,Rio Candue,Sucumbios,SUCUMBIOS,GONZALO PI,R0
299,9023249,0.08532,-79.60713,Estero Pue,Manabi,MANABI,PEDERNALES,R0
300,9023250,0.10111,-79.58255,Rio Quinin,Esmeraldas,ESMERALDAS,QUININDE,R0
301,9023256,0.10561,-79.55686,Rio Conejo,Esmeraldas,ESMERALDAS,QUININDE,R0
302,9023270,0.08416,-77.3812,,Sucumbios,SUCUMBIOS,GONZALO PI,R0
303,9023278,0.08785,-79.33192,Rio Abunda,Pichincha,PICHINCHA,PUERTO QUITO,R0
304,9023296,0.08796,-77.55586,Rio Quecun,Sucumbios,SUCUMBIOS,GONZALO PI,R0
305,9023304,0.06715,-77.18744,,Sucumbios,SUCUMBIOS,CASCALES,R0
306,9023309,0.11225,-79.4856,Rio Cucara,Esmeraldas,ESMERALDAS,QUININDE,R0
307,9023312,0.07982,-79.35334,Rio Blanco,Esmeraldas,ESMERALDAS,QUININDE,R0
308,9023320,0.06656,-78.16388,Quebrada M,Pichincha,PICHINCHA,PEDRO MONC,R0
309,9023321,0.10068,-78.10301,Rio La Chi,Pichincha,PICHINCHA,CAYAMBE,R0
310,9023329,0.05995,-77.19741,,Sucumbios,SUCUMBIOS,CASCALES,R0
311,9023345,0.0847,-75.82626,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
312,9023346,0.05212,-75.79526,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
313,9023352,0.06275,-77.28996,Rio Aguari,Sucumbios,SUCUMBIOS,GONZALO PI,R0
314,9023370,0.08327,-78.66449,Rio Alambi,Pichincha,PICHINCHA,QUITO,R0
315,9023374,0.07091,-79.17919,Rio Achiot,Pichincha,PICHINCHA,PUERTO QUITO,R0
316,9023381,0.05463,-75.6708,,,,,R0
317,9023387,0.04189,-75.72615,,,,,R0
318,9023391,0.05215,-77.14052,,Sucumbios,SUCUMBIOS,CASCALES,R0
319,9023392,0.05193,-77.00636,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
320,9023394,0.04478,-77.2082,,Sucumbios,SUCUMBIOS,CASCALES,R0
321,9023398,0.08129,-78.42774,Rio Guayll,Pichincha,PICHINCHA,QUITO,R0
322,9023417,0.03081,-77.10868,,Sucumbios,SUCUMBIOS,CASCALES,R0
323,9023422,0.03983,-79.31088,Rio Salaza,Pichincha,PICHINCHA,PUERTO QUITO,R0
324,9023424,0.08705,-78.88672,Rio Pachij,Pichincha,PICHINCHA,QUITO,R0
325,9023426,0.06095,-77.87502,Rio Azuela,Napo y Suc,PICHINCHA,CAYAMBE,R0
326,9023441,0.03572,-76.2615,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
327,9023442,0.03131,-76.19795,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
328,9023453,0.01669,-77.66046,,Sucumbios,SUCUMBIOS,GONZALO PI,R0
329,9023462,0.04807,-79.61329,Rio Quinin,Esmeraldas,ESMERALDAS,QUININDE,R0
330,9023463,0.02944,-75.83204,Rio Papaya,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
331,9023468,0.02952,-75.62364,,,,,R0
332,9023470,0.01232,-79.62249,Estero Yah,Manabi,MANABI,CHONE,R0
333,9023471,0.03567,-79.36659,Rio Blanco,Esmeraldas,PICHINCHA,PUERTO QUITO,R0
334,9023477,0.03254,-78.16861,Rio Granob,Pichincha,PICHINCHA,PEDRO MONC,R0
335,9023481,0.02267,-78.67621,Rio Alambi,Pichincha,PICHINCHA,QUITO,R0
336,9023482,0.00627,-78.17433,Rio Guacha,Pichincha,PICHINCHA,CAYAMBE,R0
337,9023501,0.03305,-77.43345,Rio Due,Sucumbios,SUCUMBIOS,GONZALO PI,R0
338,9023507,0.00762,-77.65756,,Sucumbios,SUCUMBIOS,GONZALO PI,R0
339,9023508,0.02688,-77.58698,Rio Due Gr,Sucumbios,SUCUMBIOS,GONZALO PI,R0
340,9023529,0.01272,-79.66966,Estero Yah,Manabi,MANABI,CHONE,R0
341,9023530,0.00154,-79.63503,Estero Yah,Manabi,MANABI,CHONE,R0
342,9023531,-0.00107,-78.16975,,Pichincha,PICHINCHA,CAYAMBE,R0
343,9023552,0.02352,-78.62347,Rio Pichan,Pichincha,PICHINCHA,QUITO,R0
344,9023553,0.00535,-78.1436,Rio Guacha,Pichincha,PICHINCHA,CAYAMBE,R0
345,9023569,-0.00017,-79.61093,Rio Quinin,Esmeraldas,ESMERALDAS,QUININDE,R0
346,9023575,-0.0177,-79.65919,Estero Yah,Manabi,MANABI,CHONE,R0
347,9023580,-0.01707,-78.82104,Rio Saloya,Pichincha,PICHINCHA,SAN MIGUEL,R0
348,9023581,0.00106,-76.97885,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
349,9023582,0.00604,-76.3916,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
350,9023588,-0.02298,-76.38894,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
351,9023597,0.0397,-76.76197,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
352,9023612,-0.00886,-76.19375,Rio Cuyabe,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
353,9023615,-0.01506,-79.63344,Rio Quebra,Manabi,MANABI,CHONE,R0
354,9023616,-0.01527,-79.33523,Rio Como H,Santo Domi,ESMERALDAS,LA CONCORD,R0
355,9023624,-0.0038,-78.40209,Rio Guayll,Pichincha,PICHINCHA,PEDRO MONC,R0
356,9023625,-0.00926,-78.2806,Rio Pisque,Pichincha,PICHINCHA,CAYAMBE,R0
357,9023632,0.04738,-79.48033,Rio Mache,Esmeraldas,ESMERALDAS,QUININDE,R0
358,9023633,-0.03332,-76.69703,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
359,9023634,-0.0333,-76.26967,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
360,9023649,-0.0333,-77.32372,Rio Dashin,Sucumbios,SUCUMBIOS,GONZALO PI,R0
361,9023654,-0.01112,-80.07416,Rio Cuaque,Manabi,MANABI,PEDERNALES,R0
362,9023659,-0.01333,-77.88363,Rio Huatar,Napo y Pic,PICHINCHA,CAYAMBE,R0
363,9023684,-0.00012,-79.90547,Rio Cuaque,Manabi,MANABI,PEDERNALES,R0
364,9023685,-0.03463,-76.6087,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
365,9023686,-0.011,-76.57831,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
366,9023691,-0.04621,-78.38774,Rio Guayll,Pichincha,PICHINCHA,QUITO,R0
367,9023694,-0.03838,-79.60969,Rio Quinin,Santo Domi,ESMERALDAS,LA CONCORD,R0
368,9023709,-0.04913,-78.36601,Rio Coyago,Pichincha,PICHINCHA,QUITO,R0
369,9023716,-0.04212,-78.09705,Rio Guacha,Pichincha,PICHINCHA,CAYAMBE,R0
370,9023743,-0.02505,-78.44281,Rio Villor,Pichincha,PICHINCHA,QUITO,R0
371,9023746,-0.05273,-78.74466,Rio Mindo,Pichincha,PICHINCHA,SAN MIGUEL,R0
372,9023765,-0.06898,-77.80951,Rio Cascab,Napo,NAPO,EL CHACO,R0
373,9023766,-0.00924,-77.79407,Rio Salado,Napo y Suc,NAPO,EL CHACO,R0
374,9023769,-0.04786,-78.12111,Rio Poroto,Pichincha,PICHINCHA,CAYAMBE,R0
375,9023794,-0.0235,-78.99284,Rio Blanco,Pichincha,PICHINCHA,SAN MIGUEL,R0
376,9023798,-0.06884,-80.07017,Rio San Jo,Manabi,MANABI,PEDERNALES,R0
377,9023799,-0.0579,-78.82984,Rio Saloya,Pichincha,PICHINCHA,SAN MIGUEL,R0
378,9023807,-0.07283,-78.37974,Rio Guayll,Pichincha,PICHINCHA,QUITO,R0
379,9023808,-0.08654,-75.90671,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
380,9023812,-0.06674,-77.24541,,Orellana y,ORELLANA,ORELLANA,R0
381,9023813,-0.07217,-76.02848,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
382,9023815,-0.09687,-77.20688,,Orellana,ORELLANA,ORELLANA,R0
383,9023816,-0.07731,-79.57799,Rio Guabal,Santo Domi,ESMERALDAS,LA CONCORD,R0
384,9023817,-0.09603,-80.04976,Rio Taviaz,Manabi,MANABI,PEDERNALES,R0
385,9023818,-0.09597,-75.92668,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
386,9023821,-0.09389,-78.36346,Rio Uravia,Pichincha,PICHINCHA,QUITO,R0
387,9023822,-0.07849,-79.60611,Rio Quinin,Manabi,MANABI,CHONE,R0
388,9023823,-0.09857,-78.82932,Rio Virgin,Pichincha,PICHINCHA,SAN MIGUEL,R0
389,9023831,-0.08272,-76.68935,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
390,9023833,-0.08598,-76.11771,Rio Cuyabe,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
391,9023841,-0.05572,-79.30923,Rio Blanco,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
392,9023845,-0.10472,-79.18879,Rio Blanco,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
393,9023846,-0.1074,-78.97351,Rio Cocani,Pichincha,PICHINCHA,SAN MIGUEL,R0
394,9023847,-0.08507,-75.66782,Quebrada T,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
395,9023855,-0.10626,-78.32093,Rio Uravia,Pichincha,PICHINCHA,QUITO,R0
396,9023860,-0.09814,-79.07125,Rio Mulaut,Pichincha,SANTO DOMINGO,SANTO DOMINGO,R0
397,9023861,-0.06033,-75.44687,,,,,R0
398,9023870,-0.10669,-78.38022,Rio Guayll,Pichincha,PICHINCHA,QUITO,R0
399,9023875,-0.11536,-79.22624,Rio Toachi,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
400,9023876,-0.12107,-75.27353,,,,,R0
401,9023886,-0.12579,-76.35407,,Sucumbios,SUCUMBIOS,CUYABENO,R0
402,9023888,-0.10055,-76.79048,Rio Eno,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
403,9023900,-0.11688,-78.33904,Rio Cartag,Pichincha,PICHINCHA,QUITO,R0
404,9023902,-0.12223,-76.28672,,Sucumbios,SUCUMBIOS,CUYABENO,R0
405,9023906,-0.13111,-76.30513,Rio Aguas,Sucumbios,SUCUMBIOS,CUYABENO,R0
406,9023908,-0.12867,-79.18386,Rio Meme,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
407,9023914,-0.08418,-76.54448,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
408,9023934,-0.13078,-78.38747,Rio Guayll,Pichincha,PICHINCHA,QUITO,R0
409,9023935,-0.13112,-76.58507,Rio Eno,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
410,9023943,-0.11951,-80.07114,Rio San Jo,Manabi,MANABI,PEDERNALES,R0
411,9023944,-0.13726,-79.12482,Rio Meme G,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
412,9023951,-0.11938,-79.78936,Rio Mongoy,Manabi,MANABI,FLAVIO ALF,R0
413,9023955,-0.12559,-79.62153,Rio Quinin,Manabi,MANABI,CHONE,R0
414,9023956,-0.09229,-79.48646,Rio Bua,Santo Domi,ESMERALDAS,LA CONCORD,R0
415,9023957,-0.10206,-77.3324,Rio Coca,Napo y Suc,NAPO,EL CHACO,R0
416,9023968,-0.13786,-76.34234,,Sucumbios,SUCUMBIOS,CUYABENO,R0
417,9023977,-0.13801,-75.27845,,,,,R0
418,9023983,-0.14852,-79.70702,Rio Tigre,Manabi,MANABI,FLAVIO ALF,R0
419,9023989,-0.13069,-79.58002,Rio Chila,Manabi,MANABI,EL CARMEN,R0
420,9023995,-0.15404,-80.21468,,Manabi,MANABI,JAMA,R0
421,9024000,-0.12196,-75.98311,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
422,9024004,-0.14511,-79.67455,Rio Mongoy,Manabi,MANABI,FLAVIO ALF,R0
423,9024009,-0.1589,-79.64249,Rio Mongoy,Manabi,MANABI,CHONE,R0
424,9024013,-0.13811,-75.44231,Rio Geppi,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
425,9024016,-0.1356,-75.78936,,Sucumbios,SUCUMBIOS,CUYABENO,R0
426,9024017,-0.14051,-75.63976,,Sucumbios,SUCUMBIOS,CUYABENO,R0
427,9024043,-0.16039,-78.40852,Rio San Pe,Pichincha,PICHINCHA,QUITO,R0
428,9024050,-0.17095,-79.66894,Estero Tri,Manabi,MANABI,FLAVIO ALF,R0
429,9024067,-0.16426,-76.11095,Rio Aguas,Sucumbios,SUCUMBIOS,CUYABENO,R0
430,9024070,-0.14978,-78.98008,Rio Mulaut,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
431,9024076,-0.17363,-79.52404,Rio Agua S,Manabi,MANABI,EL CARMEN,R0
432,9024083,-0.17311,-79.45804,Rio Chila,Manabi y S,SANTO DOMINGO,SANTO DOMINGO,R0
433,9024084,-0.19057,-78.95945,Rio El Dor,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
434,9024085,-0.18798,-78.9299,Rio Mulaut,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
435,9024091,-0.1933,-78.47426,,Pichincha,PICHINCHA,QUITO,R0
436,9024092,-0.19034,-78.4386,Rio Machan,Pichincha,PICHINCHA,QUITO,R0
437,9024118,-0.1688,-79.10893,Rio Meme C,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
438,9024121,-0.10059,-77.52251,Rio Quijos,Napo y Suc,NAPO,EL CHACO,R0
439,9024126,-0.15715,-77.74374,Rio Salado,Napo,NAPO,EL CHACO,R0
440,9024135,-0.18628,-76.83724,,Orellana y,SUCUMBIOS,SHUSHUFINDI,R0
441,9024139,-0.19234,-77.507,Rio Machac,Napo,NAPO,EL CHACO,R0
442,9024140,-0.17989,-77.42584,Rio Machac,Napo,NAPO,EL CHACO,R0
443,9024143,-0.17546,-78.38229,Rio Chiche,Pichincha,PICHINCHA,QUITO,R0
444,9024146,-0.20894,-76.83149,Rio Jivino,Orellana,ORELLANA,LA JOYA DE,R0
445,9024154,-0.18528,-75.708,,Sucumbios,SUCUMBIOS,CUYABENO,R0
446,9024157,-0.17907,-79.61525,Rio Quinin,Manabi,MANABI,FLAVIO ALF,R0
447,9024182,-0.18764,-75.93519,Rio Cuyabe,Sucumbios,SUCUMBIOS,CUYABENO,R0
448,9024183,-0.21261,-75.97656,Quebrada B,Sucumbios,SUCUMBIOS,CUYABENO,R0
449,9024186,-0.19875,-80.25806,Rio Jama,Manabi,MANABI,JAMA,R0
450,9024187,-0.22086,-79.58106,Rio Suma,Manabi,MANABI,EL CARMEN,R0
451,9024194,-0.21945,-78.05865,Rio Oyacac,Napo,NAPO,EL CHACO,R0
452,9024195,-0.21353,-78.01472,Rio Cariya,Napo,NAPO,EL CHACO,R0
453,9024232,-0.1919,-78.33475,Rio Guambi,Pichincha,PICHINCHA,QUITO,R0
454,9024233,-0.23138,-76.56463,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
455,9024234,-0.19636,-76.59988,Rio Shushu,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
456,9024236,-0.22112,-77.70014,Rio Quijos,Napo,NAPO,EL CHACO,R0
457,9024248,-0.14263,-78.73814,Rio Cinto,Pichincha,PICHINCHA,QUITO,R0
458,9024254,-0.21985,-77.93234,Rio Cedro,Napo,NAPO,EL CHACO,R0
459,9024286,-0.24839,-77.88973,Rio Oyacac,Napo,NAPO,EL CHACO,R0
460,9024287,-0.2501,-77.85758,Rio Santa,Napo,NAPO,EL CHACO,R0
461,9024292,-0.23231,-78.35469,Quebrada A,Pichincha,PICHINCHA,QUITO,R0
462,9024314,-0.25775,-78.33698,Quebrada C,Pichincha,PICHINCHA,QUITO,R0
463,9024323,-0.23362,-76.1975,,Sucumbios,SUCUMBIOS,CUYABENO,R0
464,9024326,-0.24371,-75.91525,,Sucumbios,SUCUMBIOS,CUYABENO,R0
465,9024328,-0.24977,-77.96396,Rio Oyacac,Napo,NAPO,EL CHACO,R0
466,9024329,-0.24123,-77.50398,,Napo,NAPO,EL CHACO,R0
467,9024335,-0.26168,-78.33923,Quebrada A,Pichincha,PICHINCHA,QUITO,R0
468,9024336,-0.2488,-76.82283,,Orellana,ORELLANA,LA JOYA DE,R0
469,9024346,-0.24347,-77.20055,,Orellana,ORELLANA,ORELLANA,R0
470,9024347,-0.25908,-77.13399,,Orellana,ORELLANA,ORELLANA,R0
471,9024352,-0.2344,-78.50524,Rio Machan,Pichincha,PICHINCHA,QUITO,R0
472,9024354,-0.26662,-76.8324,Rio Jivino,Orellana,ORELLANA,LA JOYA DE,R0
473,9024380,-0.19471,-78.79179,Rio Saloya,Pichincha,PICHINCHA,QUITO,R0
474,9024385,-0.26241,-80.23602,Rio Jama,Manabi,MANABI,JAMA,R0
475,9024386,-0.28261,-80.19462,Rio El Ven,Manabi,MANABI,JAMA,R0
476,9024410,-0.23175,-78.43378,Rio San Pe,Pichincha,PICHINCHA,QUITO,R0
477,9024412,-0.25524,-79.74626,Rio Quinin,Manabi,MANABI,FLAVIO ALF,R0
478,9024438,-0.25808,-76.37139,Rio Aguari,Sucumbios,SUCUMBIOS,CUYABENO,R0
479,9024466,-0.2896,-76.77882,Rio Jivino,Orellana,ORELLANA,LA JOYA DE,R0
480,9024467,-0.25652,-76.77758,Rio Jivino,Orellana y,ORELLANA,LA JOYA DE,R0
481,9024473,-0.22387,-79.14006,Rio Toachi,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
482,9024493,-0.29341,-76.03001,,Sucumbios,SUCUMBIOS,CUYABENO,R0
483,9024495,-0.27875,-77.69218,Rio Murall,Napo,NAPO,EL CHACO,R0
484,9024496,-0.31734,-76.48288,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
485,9024497,-0.27726,-76.50277,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
486,9024502,-0.2782,-77.74265,Rio Quijos,Napo,NAPO,EL CHACO,R0
487,9024505,-0.31534,-78.9951,Rio Toachi,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
488,9024506,-0.31247,-77.18892,Rio Biguno,Orellana,ORELLANA,ORELLANA,R0
489,9024507,-0.2945,-77.17274,Rio Punino,Orellana,ORELLANA,ORELLANA,R0
490,9024515,-0.29956,-77.83545,Rio Oyacac,Napo,NAPO,EL CHACO,R0
491,9024520,-0.27008,-78.36179,Quebrada R,Pichincha,PICHINCHA,QUITO,R0
492,9024534,-0.32752,-79.18386,Rio Baba,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
493,9024538,-0.33148,-90.77123,,Galapagos,GALAPAGOS,SANTA CRUZ,R0
494,9024554,-0.32385,-79.02858,Rio Lelia,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
495,9024555,-0.27466,-75.47334,,Sucumbios,SUCUMBIOS,CUYABENO,R0
496,9024556,-0.32771,-75.45125,,,,,R0
497,9024587,-0.34038,-79.18295,Rio Mapali,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
498,9024594,-0.34632,-78.84202,Rio Chicto,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
499,9024597,-0.33783,-79.61505,Rio El Mon,Manabi,MANABI,EL CARMEN,R0
500,9024598,-0.33319,-79.58425,Rio Las Va,Manabi,MANABI,EL CARMEN,R0
501,9024599,-0.32981,-78.89722,Rio Pilato,Pichincha,SANTO DOMINGO,SANTO DOMINGO,R0
502,9024606,-0.33723,-79.21003,Rio Baba,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
503,9024620,-0.30395,-75.79557,,Sucumbios,SUCUMBIOS,CUYABENO,R0
504,9024658,-0.33832,-77.3775,,Napo,NAPO,EL CHACO,R0
505,9024662,-0.35737,-78.83826,Rio Pilato,Pichincha,PICHINCHA,MEJIA,R0
506,9024667,-0.35024,-78.08321,Rio Chalpi,Napo,NAPO,QUIJOS,R0
507,9024674,-0.36674,-77.4126,,Napo,NAPO,EL CHACO,R0
508,9024677,-0.32816,-75.53271,,Sucumbios,SUCUMBIOS,CUYABENO,R0
509,9024683,-0.34305,-78.92605,Rio Toachi,Cotopaxi y,COTOPAXI,SIGCHOS,R0
510,9024691,-0.3698,-78.7924,Rio Santa,Pichincha,PICHINCHA,MEJIA,R0
511,9024700,-0.37812,-77.15354,,Orellana,ORELLANA,ORELLANA,R0
512,9024701,-0.34735,-77.15078,,Orellana,ORELLANA,ORELLANA,R0
513,9024710,-0.3484,-77.80647,Rio Quijos,Napo,NAPO,EL CHACO,R0
514,9024716,-0.37559,-78.11974,Rio Papall,Napo,NAPO,QUIJOS,R0
515,9024730,-0.37843,-77.8465,Rio Sardin,Napo,NAPO,EL CHACO,R0
516,9024743,-0.33723,-78.42167,Rio Pita,Pichincha,PICHINCHA,RUMIÑAHUI,R0
517,9024748,-0.31188,-76.88961,Rio Blanco,Orellana,ORELLANA,LA JOYA DE,R0
518,9024749,-0.3735,-75.83285,,Sucumbios,SUCUMBIOS,CUYABENO,R0
519,9024751,-0.38566,-76.87291,Rio Huamay,Orellana,ORELLANA,LA JOYA DE,R0
520,9024757,-0.38299,-76.23735,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
521,9024758,-0.38505,-75.4459,,Sucumbios,SUCUMBIOS,CUYABENO,R0
522,9024759,-0.36501,-75.43148,,,,,R0
523,9024772,-0.32971,-80.0469,Rio Jama,Manabi,MANABI,CHONE,R0
524,9024778,-0.35084,-80.16665,Rio Jama,Manabi,MANABI,SUCRE,R0
525,9024779,-0.39827,-80.10058,Rio Jama,Manabi,MANABI,CHONE,R0
526,9024784,-0.38731,-75.53869,Quebrada S,Sucumbios,SUCUMBIOS,CUYABENO,R0
527,9024787,-0.40146,-80.11542,Rio Cucuy,Manabi,MANABI,CHONE,R0
528,9024789,-0.2234,-77.07021,Rio Coca,Orellana,ORELLANA,ORELLANA,R0
529,9024806,-0.39088,-77.36643,Rio Payami,Napo,NAPO,EL CHACO,R0
530,9024813,-0.3793,-79.20803,Rio Otongo,Santo Domi,SANTO DOMINGO,SANTO DOMINGO,R0
531,9024814,-0.3978,-77.02746,Rio Quillu,Orellana,ORELLANA,ORELLANA,R0
532,9024823,-0.38412,-76.36594,Rio Panaya,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
533,9024841,-0.41446,-77.35628,Rio Payami,Napo,NAPO,EL CHACO,R0
534,9024847,-0.40019,-76.60004,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
535,9024848,-0.36237,-76.56178,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
536,9024860,-0.40361,-77.82465,Rio Quijos,Napo,NAPO,EL CHACO,R0
537,9024865,-0.40744,-77.14645,,Orellana,ORELLANA,ORELLANA,R0
538,9024868,-0.38249,-79.51549,Rio Cajone,Manabi,MANABI,EL CARMEN,R0
539,9024869,-0.36948,-76.68293,Rio Jivino,Orellana y,SUCUMBIOS,SHUSHUFINDI,R0
540,9024870,-0.42325,-76.61416,Rio Chicta,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
541,9024872,-0.41323,-80.06927,Rio Yescas,Manabi,MANABI,CHONE,R0
542,9024874,-0.42677,-76.6057,,Orellana y,SUCUMBIOS,SHUSHUFINDI,R0
543,9024875,-0.41684,-76.57514,,Orellana y,ORELLANA,ORELLANA,R0
544,9024882,-0.4298,-80.0341,Rio Zapall,Manabi,MANABI,CHONE,R0
545,9024883,-0.38438,-79.47151,Rio Pupusa,Manabi,MANABI,EL CARMEN,R0
546,9024890,-0.32657,-80.30039,Rio Marian,Manabi,MANABI,JAMA,R0
547,9024891,-0.39634,-76.80232,,Orellana,ORELLANA,LA JOYA DE,R0
548,9024893,-0.40987,-78.02711,Rio Quijos,Napo,NAPO,QUIJOS,R0
549,9024894,-0.41901,-76.6911,Rio Quince,Orellana,ORELLANA,LA JOYA DE,R0
550,9024895,-0.43085,-76.53028,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
551,9024900,-0.40158,-76.1583,,Sucumbios,SUCUMBIOS,SHUSHUFINDI,R0
552,9024916,-0.40671,-78.80075,Rio Pilato,Pichincha,PICHINCHA,MEJIA,R0
553,9024917,-0.43639,-78.73365,Rio Naranj,Pichincha,PICHINCHA,MEJIA,R0
554,9024920,-0.40968,-78.92973,Rio Toachi,Cotopaxi,COTOPAXI,SIGCHOS,R0
555,9024921,-0.44248,-76.77095,,Orellana,ORELLANA,ORELLANA,R0
556,9024925,-0.43979,-76.80526,,Orellana,ORELLANA,LA JOYA DE,R0
557,9024930,-0.42136,-76.83341,Rio Huamay,Orellana,ORELLANA,LA JOYA DE,R0
558,9024931,-0.44604,-78.95354,Rio Negro,Cotopaxi,COTOPAXI,SIGCHOS,R0
559,9024939,-0.44775,-78.76053,Rio Corazo,Pichincha,PICHINCHA,MEJIA,R0
560,9024943,-0.4392,-77.84341,Rio Quijos,Napo,NAPO,QUIJOS,R0
561,9024944,-0.44783,-76.27233,,Orellana,SUCUMBIOS,SHUSHUFINDI,R0
562,9024945,-0.44636,-76.1782,,Orellana y,ORELLANA,ORELLANA,R0
563,9024948,-0.34873,-77.27549,Rio Paushi,Napo,ORELLANA,ORELLANA,R0
564,9024949,-0.44878,-76.67202,,Orellana,ORELLANA,LA JOYA DE,R0
565,9024954,-0.43352,-75.37808,,,,,R0
566,9024957,-0.40173,-79.60391,Rio Las Va,Manabi,MANABI,EL CARMEN,R0
567,9024961,-0.4191,-80.44914,Rio Muchac,Manabi,MANABI,SAN VICENT,R0
568,9024967,-0.44291,-80.04512,Rio Yescas,Manabi,MANABI,CHONE,R0
569,9024968,-0.44611,-77.14724,Rio Payami,Orellana,ORELLANA,ORELLANA,R0
570,9024971,-0.45914,-79.61016,Rio De Oro,Manabi,MANABI,EL CARMEN,R0
571,9024972,-0.44264,-79.59567,Rio La Esp,Manabi,MANABI,EL CARMEN,R0
572,9024973,-0.43411,-77.39339,Rio Cachiy,Napo,NAPO,EL CHACO,R0
573,9024979,-0.38215,-79.75592,Rio La Mor,Manabi,MANABI,FLAVIO ALF,R0
574,9024980,-0.44529,-77.81135,Rio Borja,Napo,NAPO,QUIJOS,R0
575,9024982,-0.4591,-75.3263,,,,,R0
576,9024983,-0.45345,-77.91299,Rio Quijos,Napo,NAPO,QUIJOS,R0
577,9024984,-0.46249,-75.31548,,,,,R0
578,9024991,-0.39714,-75.64112,,Sucumbios,SUCUMBIOS,CUYABENO,R0
